Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes
19,Sat,2021-01-30,15:30,Werder Bremen,0.7,1–1,0.5,Schalke 04,Weserstadion,Sören Storks,Match Report,
19,Sat,2021-01-30,15:30,Dortmund,1.7,3–1,0.3,Augsburg,Signal Iduna Park,Patrick Ittrich,Match Report,
19,Sat,2021-01-30,15:30,Eint Frankfurt,2.1,3–1,0.5,Hertha BSC,Deutsche Bank Park,Florian Badstübner,Match Report,
19,Sat,2021-01-30,18:30,RB Leipzig,1.4,1–0,0.7,Leverkusen,Red Bull Arena,Harm Osmers,Match Report,
19,Sun,2021-01-31,15:30,Köln,1.3,3–1,1.0,Arminia,RheinEnergieSTADION,Felix Zwayer,Match Report,
19,Sun,2021-01-31,18:00,Wolfsburg,1.8,3–0,1.1,Freiburg,Volkswagen Arena,Tobias Reichel,Match Report,
20,Fri,2021-02-05,20:00,Hertha BSC,1.3,0–1,2.1,Bayern Munich,Olympiastadion Berlin,Robert Schröder,Match Report,
20,Sat,2021-02-06,15:30,Freiburg,0.2,2–1,1.4,Dortmund,Schwarzwald-Stadion,Felix Brych,Match Report,
20,Sat,2021-02-06,15:30,Leverkusen,4.1,5–2,1.7,Stuttgart,BayArena,Sven Jablonski,Match Report,
20,Sat,2021-02-06,15:30,Schalke 04,0.2,0–3,2.2,RB Leipzig,Veltins-Arena,Martin Petersen,Match Report,
20,Sat,2021-02-06,15:30,Mainz 05,2.0,1–0,1.2,Union Berlin,Opel Arena,Sascha Stegemann,Match Report,
20,Sat,2021-02-06,15:30,Augsburg,0.6,0–2,2.1,Wolfsburg,WWK Arena,Robert Hartmann,Match Report,
20,Sat,2021-02-06,18:30,M'Gladbach,0.5,1–2,0.7,Köln,Stadion im Borussia-Park,Christian Dingert,Match Report,
20,Sun,2021-02-07,15:30,Hoffenheim,0.9,1–3,1.3,Eint Frankfurt,PreZero Arena,Daniel Siebert,Match Report,
21,Fri,2021-02-12,20:30,RB Leipzig,2.1,2–1,1.0,Augsburg,Red Bull Arena,Felix Zwayer,Match Report,
21,Sat,2021-02-13,15:30,Werder Bremen,0.7,0–0,0.9,Freiburg,Weserstadion,Manuel Gräfe,Match Report,
21,Sat,2021-02-13,15:30,Dortmund,1.7,2–2,2.6,Hoffenheim,Signal Iduna Park,Bastian Dankert,Match Report,
21,Sat,2021-02-13,15:30,Stuttgart,1.0,1–1,1.3,Hertha BSC,Mercedes-Benz Arena,Harm Osmers,Match Report,
21,Sat,2021-02-13,15:30,Leverkusen,1.4,2–2,2.6,Mainz 05,BayArena,Guido Winkmann,Match Report,
21,Sat,2021-02-13,18:30,Union Berlin,2.0,0–0,0.3,Schalke 04,Stadion An der Alten Försterei,Daniel Schlager,Match Report,
21,Sun,2021-02-14,15:30,Eint Frankfurt,2.5,2–0,0.3,Köln,Deutsche Bank Park,Frank Willenborg,Match Report,
21,Sun,2021-02-14,18:00,Wolfsburg,0.9,0–0,0.6,M'Gladbach,Volkswagen Arena,Tobias Stieler,Match Report,
21,Mon,2021-02-15,20:30,Bayern Munich,2.5,3–3,1.4,Arminia,Allianz Arena,Florian Badstübner,Match Report,
22,Fri,2021-02-19,20:30,Arminia,0.6,0–3,1.5,Wolfsburg,SchücoArena,Felix Brych,Match Report,
22,Sat,2021-02-20,15:30,M'Gladbach,0.9,1–2,0.6,Mainz 05,Stadion im Borussia-Park,Markus Schmidt,Match Report,
22,Sat,2021-02-20,15:30,Köln,0.8,0–1,0.6,Stuttgart,RheinEnergieSTADION,Benjamin Cortus,Match Report,
22,Sat,2021-02-20,15:30,Freiburg,0.8,0–1,1.4,Union Berlin,Schwarzwald-Stadion,Sören Storks,Match Report,
22,Sat,2021-02-20,15:30,Eint Frankfurt,1.4,2–1,2.2,Bayern Munich,Deutsche Bank Park,Sascha Stegemann,Match Report,
22,Sat,2021-02-20,18:30,Schalke 04,0.9,0–4,1.6,Dortmund,Veltins-Arena,Daniel Siebert,Match Report,
22,Sun,2021-02-21,13:30,Augsburg,1.0,1–1,0.5,Leverkusen,WWK Arena,Christian Dingert,Match Report,
22,Sun,2021-02-21,15:30,Hertha BSC,0.8,0–3,0.9,RB Leipzig,Olympiastadion Berlin,Sven Jablonski,Match Report,
22,Sun,2021-02-21,18:00,Hoffenheim,2.3,4–0,0.1,Werder Bremen,PreZero Arena,Robert Schröder,Match Report,
23,Fri,2021-02-26,20:30,Werder Bremen,1.0,2–1,1.2,Eint Frankfurt,Weserstadion,Robert Hartmann,Match Report,
23,Sat,2021-02-27,15:30,Bayern Munich,2.3,5–1,1.4,Köln,Allianz Arena,Martin Petersen,Match Report,
23,Sat,2021-02-27,15:30,Stuttgart,2.2,5–1,1.5,Schalke 04,Mercedes-Benz Arena,Guido Winkmann,Match Report,
